muscle_group,subset_muscles,exercise_title,muscle_description_title,muscle_description,exercise_execution_title
Arme,Trizeps,Enges Bankdrücken,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Stirndrücken,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Trizepsdrücken am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Arnold-Dips,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Dips,Erklärung der Übung,,Die richtige Ausführung
Schultern,Seitliche Schulter,Seitheben mit dem Theraband,Erklärung der Übung,,Die richtige Ausführung
Schultern,Seitliche Schulter,Aufrechtes Rudern am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Schultern,Seitliche Schulter,Aufrechtes Kurzhantel-Rudern,Erklärung der Übung,,Die richtige Ausführung
Schultern,Seitliche Schulter,Sitzendes Seitheben,Erklärung der Übung,,Die richtige Ausführung
Schultern,Seitliche Schulter,Seitheben am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Schultern,Seitliche Schulter,Aufrechtes Rudern,Erklärung der Übung,,Aufrechtes Rudern mit engem Griff
Schultern,Seitliche Schulter,Seitheben,Erklärung der Übung,,Die richtige Ausführung
Schultern,Hintere Schulter,Reverse Flys auf dem Gymnastikball,Erklärung der Übung,,Die richtige Ausführung
Schultern,Hintere Schulter,Reverse Flys mit dem Theraband,Erklärung der Übung,,Die richtige Ausführung
Schultern,Hintere Schulter,Vorgebeugte Reverse Flys am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Schultern,Hintere Schulter,Reverse Flys am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Schultern,Hintere Schulter,Rudern in Rückenlage,Erklärung der Übung,,Die richtige Ausführung
Schultern,Hintere Schulter,Butterfly Reverse,Erklärung der Übung,,Die richtige Ausführung
Schultern,Hintere Schulter,Reverse Flys,Erklärung der Übung,,Die richtige Ausführung
